,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
252,RBFNetwork,2,15,Diabetes,0.5610214991293211,0.1931818127632141,0.09331822531877573
253,RLVQ,2,15,Diabetes,0.4167581682664041,0.09090909361839294,1.6365436897563372
254,RegNG,2,15,Diabetes,0.564729991831557,0.22727273404598236,0.09760721449999572
255,RegSeNG,2,15,Diabetes,0.5697257200007877,0.1931818127632141,0.10793494756046561
256,NGTSP,2,15,Diabetes,0.4898319680252082,0.23863635957241058,0.10846653219752764
257,RNGTSP,2,15,Diabetes,0.5466005274763784,0.22727273404598236,0.09345408922590705
258,RBFNetwork,3,15,Diabetes,0.4832793399883984,0.27272728085517883,0.097722650222712
259,RLVQ,3,15,Diabetes,0.4824738127780605,0.10227272659540176,1.893032847214738
260,RegNG,3,15,Diabetes,0.48465286110113015,0.22727273404598236,0.10471795378672316
261,RegSeNG,3,15,Diabetes,0.5170322995057082,0.22727273404598236,0.10402014948963972
262,NGTSP,3,15,Diabetes,0.45201664345776743,0.23863635957241058,0.1124959622275369
263,RNGTSP,3,15,Diabetes,0.44740774561104596,0.23863635957241058,0.10321557415555165
264,RBFNetwork,4,15,Diabetes,0.5609600300544799,0.22727273404598236,0.09129508807815988
265,RLVQ,4,15,Diabetes,0.5160137674585679,0.14772726595401764,1.6735308096363248
266,RegNG,4,15,Diabetes,0.5627443072619909,0.21590909361839294,0.09259795498106665
267,RegSeNG,4,15,Diabetes,0.5494002337811869,0.1818181872367859,0.09759602569422904
268,NGTSP,4,15,Diabetes,0.5354840039089136,0.20454545319080353,0.0939113901814951
269,RNGTSP,4,15,Diabetes,0.5340032663935683,0.22727273404598236,0.09501808909312653
270,RBFNetwork,0,5,CalHousing,0.6320420628552895,0.2475775182247162,0.011869000616570797
271,RLVQ,0,5,CalHousing,0.48357329223046636,0.1509205400943756,0.9812841336602032
272,RegNG,0,5,CalHousing,0.6171752632408445,0.2395833283662796,0.012542237878184257
273,RegSeNG,0,5,CalHousing,0.6250660092781812,0.24685077369213104,0.012219000595956106
274,NGTSP,0,5,CalHousing,0.3255067456669013,0.16254845261573792,0.031818304150634705
275,RNGTSP,0,5,CalHousing,0.635069890415279,0.24273255467414856,0.011531512439231872
276,RBFNetwork,1,5,CalHousing,0.6379863923919992,0.25218021869659424,0.01193306118750157
277,RLVQ,1,5,CalHousing,0.5528702395463846,0.1484980583190918,0.8812336636409115
278,RegNG,1,5,CalHousing,0.0701601775362825,0.26211240887641907,0.006363287565780792
279,RegSeNG,1,5,CalHousing,0.07211952935020567,0.26114341616630554,0.006418250813677154
280,NGTSP,1,5,CalHousing,0.1514257654399579,0.14946705102920532,0.04423779526520528
281,RNGTSP,1,5,CalHousing,0.14388102323549704,0.25726744532585144,0.007967046199800687
282,RBFNetwork,2,5,CalHousing,0.6427806874982503,0.2538759708404541,0.012013355305380152
283,RLVQ,2,5,CalHousing,0.49779905698636573,0.14874030649662018,0.9597886058686739
